NAME,population_estimate,population_margin,state,county,tract
"Census Tract 63, Multnomah County, Oregon",5204,338,41,51,6300
"Census Tract 27.01, Multnomah County, Oregon",3211,162,41,51,2701
"Census Tract 38.03, Multnomah County, Oregon",4506,466,41,51,3803
"Census Tract 46.01, Multnomah County, Oregon",3017,227,41,51,4601
"Census Tract 64.02, Multnomah County, Oregon",5992,474,41,51,6402
"Census Tract 70, Multnomah County, Oregon",8292,468,41,51,7000
"Census Tract 72.01, Multnomah County, Oregon",2262,309,41,51,7201
"Census Tract 38.02, Multnomah County, Oregon",3518,192,41,51,3802
"Census Tract 39.01, Multnomah County, Oregon",7963,521,41,51,3901
"Census Tract 55, Multnomah County, Oregon",2805,208,41,51,5500
"Census Tract 58, Multnomah County, Oregon",5066,436,41,51,5800
"Census Tract 59, Multnomah County, Oregon",7857,570,41,51,5900
"Census Tract 67.01, Multnomah County, Oregon",3295,223,41,51,6701
"Census Tract 73, Multnomah County, Oregon",1531,427,41,51,7300
"Census Tract 80.02, Multnomah County, Oregon",3285,403,41,51,8002
"Census Tract 89.01, Multnomah County, Oregon",9634,684,41,51,8901
"Census Tract 90, Multnomah County, Oregon",11030,931,41,51,9000
"Census Tract 92.02, Multnomah County, Oregon",5179,396,41,51,9202
"Census Tract 93.01, Multnomah County, Oregon",7106,648,41,51,9301
"Census Tract 98.01, Multnomah County, Oregon",4583,455,41,51,9801
"Census Tract 84, Multnomah County, Oregon",4398,392,41,51,8400
"Census Tract 89.02, Multnomah County, Oregon",3974,267,41,51,8902
"Census Tract 91.01, Multnomah County, Oregon",5999,552,41,51,9101
"Census Tract 100.02, Multnomah County, Oregon",5590,426,41,51,10002
"Census Tract 76, Multnomah County, Oregon",3308,423,41,51,7600
"Census Tract 77, Multnomah County, Oregon",2403,328,41,51,7700
"Census Tract 81, Multnomah County, Oregon",7553,521,41,51,8100
"Census Tract 87, Multnomah County, Oregon",4747,289,41,51,8700
"Census Tract 91.02, Multnomah County, Oregon",6720,637,41,51,9102
"Census Tract 96.04, Multnomah County, Oregon",5475,525,41,51,9604
"Census Tract 96.05, Multnomah County, Oregon",4994,501,41,51,9605
"Census Tract 96.06, Multnomah County, Oregon",5735,431,41,51,9606
"Census Tract 104.02, Multnomah County, Oregon",6981,517,41,51,10402
"Census Tract 104.08, Multnomah County, Oregon",6220,1099,41,51,10408
"Census Tract 103.05, Multnomah County, Oregon",4203,284,41,51,10305
"Census Tract 97.02, Multnomah County, Oregon",8895,952,41,51,9702
"Census Tract 98.03, Multnomah County, Oregon",7978,725,41,51,9803
"Census Tract 103.04, Multnomah County, Oregon",4393,416,41,51,10304
"Census Tract 74, Multnomah County, Oregon",4034,411,41,51,7400
"Census Tract 7.01, Multnomah County, Oregon",4824,271,41,51,701
"Census Tract 16.02, Multnomah County, Oregon",4682,426,41,51,1602
"Census Tract 28.02, Multnomah County, Oregon",3209,175,41,51,2802
"Census Tract 36.02, Multnomah County, Oregon",7010,419,41,51,3602
"Census Tract 51, Multnomah County, Oregon",7948,707,41,51,5100
"Census Tract 60.02, Multnomah County, Oregon",2294,110,41,51,6002
"Census Tract 86, Multnomah County, Oregon",4008,421,41,51,8600
"Census Tract 71, Multnomah County, Oregon",2669,206,41,51,7100
"Census Tract 80.01, Multnomah County, Oregon",3340,466,41,51,8001
"Census Tract 85, Multnomah County, Oregon",4518,396,41,51,8500
"Census Tract 7.02, Multnomah County, Oregon",5163,331,41,51,702
"Census Tract 18.01, Multnomah County, Oregon",4636,266,41,51,1801
"Census Tract 18.02, Multnomah County, Oregon",3696,182,41,51,1802
"Census Tract 21, Multnomah County, Oregon",2417,224,41,51,2100
"Census Tract 24.02, Multnomah County, Oregon",3621,321,41,51,2402
"Census Tract 29.03, Multnomah County, Oregon",5825,516,41,51,2903
"Census Tract 33.01, Multnomah County, Oregon",3269,276,41,51,3301
"Census Tract 37.02, Multnomah County, Oregon",2602,201,41,51,3702
"Census Tract 38.01, Multnomah County, Oregon",3140,187,41,51,3801
"Census Tract 42, Multnomah County, Oregon",3825,345,41,51,4200
"Census Tract 47, Multnomah County, Oregon",4799,366,41,51,4700
"Census Tract 65.02, Multnomah County, Oregon",4438,438,41,51,6502
"Census Tract 68.02, Multnomah County, Oregon",3507,210,41,51,6802
"Census Tract 75, Multnomah County, Oregon",5582,439,41,51,7500
"Census Tract 78, Multnomah County, Oregon",2198,192,41,51,7800
"Census Tract 88, Multnomah County, Oregon",4437,469,41,51,8800
"Census Tract 92.01, Multnomah County, Oregon",8465,640,41,51,9201
"Census Tract 98.04, Multnomah County, Oregon",3175,208,41,51,9804
"Census Tract 99.03, Multnomah County, Oregon",6324,434,41,51,9903
"Census Tract 101, Multnomah County, Oregon",8755,618,41,51,10100
"Census Tract 103.06, Multnomah County, Oregon",4925,353,41,51,10306
"Census Tract 104.09, Multnomah County, Oregon",8128,498,41,51,10409
"Census Tract 16.01, Multnomah County, Oregon",5818,528,41,51,1601
"Census Tract 6.01, Multnomah County, Oregon",5154,422,41,51,601
"Census Tract 9.01, Multnomah County, Oregon",4464,271,41,51,901
"Census Tract 9.02, Multnomah County, Oregon",4684,537,41,51,902
"Census Tract 17.02, Multnomah County, Oregon",4157,412,41,51,1702
"Census Tract 19, Multnomah County, Oregon",4972,222,41,51,1900
"Census Tract 25.01, Multnomah County, Oregon",4672,176,41,51,2501
"Census Tract 26, Multnomah County, Oregon",2895,179,41,51,2600
"Census Tract 27.02, Multnomah County, Oregon",3154,199,41,51,2702
"Census Tract 29.02, Multnomah County, Oregon",5504,344,41,51,2902
"Census Tract 35.02, Multnomah County, Oregon",2426,188,41,51,3502
"Census Tract 37.01, Multnomah County, Oregon",4388,382,41,51,3701
"Census Tract 39.02, Multnomah County, Oregon",3401,205,41,51,3902
"Census Tract 48, Multnomah County, Oregon",2846,344,41,51,4800
"Census Tract 49, Multnomah County, Oregon",4034,337,41,51,4900
"Census Tract 67.02, Multnomah County, Oregon",3505,428,41,51,6702
"Census Tract 105, Multnomah County, Oregon",3912,417,41,51,10500
"Census Tract 82.01, Multnomah County, Oregon",2949,208,41,51,8201
"Census Tract 96.03, Multnomah County, Oregon",4044,352,41,51,9603
"Census Tract 102, Multnomah County, Oregon",6251,613,41,51,10200
"Census Tract 32, Multnomah County, Oregon",4112,301,41,51,3200
"Census Tract 33.02, Multnomah County, Oregon",3210,336,41,51,3302
"Census Tract 34.01, Multnomah County, Oregon",3828,346,41,51,3401
"Census Tract 3.02, Multnomah County, Oregon",7184,324,41,51,302
"Census Tract 5.01, Multnomah County, Oregon",3970,284,41,51,501
"Census Tract 13.02, Multnomah County, Oregon",3381,229,41,51,1302
"Census Tract 24.01, Multnomah County, Oregon",2781,189,41,51,2401
"Census Tract 34.02, Multnomah County, Oregon",3962,370,41,51,3402
"Census Tract 35.01, Multnomah County, Oregon",3644,259,41,51,3501
"Census Tract 36.01, Multnomah County, Oregon",4942,473,41,51,3601
"Census Tract 40.01, Multnomah County, Oregon",8335,669,41,51,4001
"Census Tract 52, Multnomah County, Oregon",4492,380,41,51,5200
"Census Tract 57, Multnomah County, Oregon",3982,363,41,51,5700
"Census Tract 60.01, Multnomah County, Oregon",1477,97,41,51,6001
"Census Tract 65.01, Multnomah County, Oregon",6039,411,41,51,6501
"Census Tract 72.02, Multnomah County, Oregon",3448,317,41,51,7202
"Census Tract 79, Multnomah County, Oregon",4430,332,41,51,7900
"Census Tract 82.02, Multnomah County, Oregon",9156,786,41,51,8202
"Census Tract 83.02, Multnomah County, Oregon",4554,442,41,51,8302
"Census Tract 93.02, Multnomah County, Oregon",4614,446,41,51,9302
"Census Tract 97.01, Multnomah County, Oregon",5768,527,41,51,9701
"Census Tract 103.03, Multnomah County, Oregon",5721,382,41,51,10303
"Census Tract 1, Multnomah County, Oregon",6380,406,41,51,100
"Census Tract 6.02, Multnomah County, Oregon",6163,446,41,51,602
"Census Tract 8.01, Multnomah County, Oregon",4829,334,41,51,801
"Census Tract 29.01, Multnomah County, Oregon",4432,235,41,51,2901
"Census Tract 36.03, Multnomah County, Oregon",1571,154,41,51,3603
"Census Tract 40.02, Multnomah County, Oregon",6354,440,41,51,4002
"Census Tract 41.02, Multnomah County, Oregon",5297,536,41,51,4102
"Census Tract 43, Multnomah County, Oregon",1080,92,41,51,4300
"Census Tract 45, Multnomah County, Oregon",2428,264,41,51,4500
"Census Tract 50, Multnomah County, Oregon",3005,251,41,51,5000
"Census Tract 61, Multnomah County, Oregon",2369,163,41,51,6100
"Census Tract 62, Multnomah County, Oregon",3248,232,41,51,6200
"Census Tract 66.01, Multnomah County, Oregon",2557,166,41,51,6601
"Census Tract 104.05, Multnomah County, Oregon",6081,550,41,51,10405
"Census Tract 17.01, Multnomah County, Oregon",7031,855,41,51,1701
"Census Tract 66.02, Multnomah County, Oregon",5667,367,41,51,6602
"Census Tract 95.02, Multnomah County, Oregon",3853,395,41,51,9502
"Census Tract 104.07, Multnomah County, Oregon",5709,485,41,51,10407
"Census Tract 20, Multnomah County, Oregon",6355,469,41,51,2000
"Census Tract 31, Multnomah County, Oregon",5006,271,41,51,3100
"Census Tract 46.02, Multnomah County, Oregon",2151,137,41,51,4602
"Census Tract 69, Multnomah County, Oregon",2826,245,41,51,6900
"Census Tract 30, Multnomah County, Oregon",4986,272,41,51,3000
"Census Tract 83.01, Multnomah County, Oregon",4262,273,41,51,8301
"Census Tract 100.01, Multnomah County, Oregon",5652,451,41,51,10001
"Census Tract 4.01, Multnomah County, Oregon",3784,211,41,51,401
"Census Tract 41.01, Multnomah County, Oregon",7512,522,41,51,4101
"Census Tract 56, Multnomah County, Oregon",5960,571,41,51,5600
"Census Tract 68.01, Multnomah County, Oregon",2411,151,41,51,6801
"Census Tract 95.01, Multnomah County, Oregon",4809,318,41,51,9501
"Census Tract 94, Multnomah County, Oregon",6982,554,41,51,9400
"Census Tract 9800, Multnomah County, Oregon",0,12,41,51,980000
"Census Tract 64.04, Multnomah County, Oregon",3584,282,41,51,6404
"Census Tract 99.05, Multnomah County, Oregon",3315,249,41,51,9905
"Census Tract 99.07, Multnomah County, Oregon",5077,300,41,51,9907
"Census Tract 104.11, Multnomah County, Oregon",3167,276,41,51,10411
"Census Tract 64.03, Multnomah County, Oregon",4026,404,41,51,6403
"Census Tract 104.10, Multnomah County, Oregon",4583,476,41,51,10410
"Census Tract 3.01, Multnomah County, Oregon",5504,405,41,51,301
"Census Tract 2, Multnomah County, Oregon",6458,386,41,51,200
"Census Tract 4.02, Multnomah County, Oregon",3374,323,41,51,402
"Census Tract 11.02, Multnomah County, Oregon",1665,119,41,51,1102
"Census Tract 15, Multnomah County, Oregon",3532,182,41,51,1500
"Census Tract 28.01, Multnomah County, Oregon",3128,248,41,51,2801
"Census Tract 5.02, Multnomah County, Oregon",4994,341,41,51,502
"Census Tract 8.02, Multnomah County, Oregon",4709,367,41,51,802
"Census Tract 10, Multnomah County, Oregon",6141,466,41,51,1000
"Census Tract 11.01, Multnomah County, Oregon",2211,235,41,51,1101
"Census Tract 12.01, Multnomah County, Oregon",5212,478,41,51,1201
"Census Tract 12.02, Multnomah County, Oregon",3413,160,41,51,1202
"Census Tract 13.01, Multnomah County, Oregon",4183,252,41,51,1301
"Census Tract 14, Multnomah County, Oregon",5549,316,41,51,1400
"Census Tract 25.02, Multnomah County, Oregon",4602,301,41,51,2502
"Census Tract 99.04, Multnomah County, Oregon",3962,304,41,51,9904
"Census Tract 99.06, Multnomah County, Oregon",3486,479,41,51,9906
"Census Tract 106, Multnomah County, Oregon",3007,344,41,51,10600
"Census Tract 23.03, Multnomah County, Oregon",2424,203,41,51,2303
"Census Tract 22.03, Multnomah County, Oregon",3778,279,41,51,2203
